secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix
139383,02JAN2013,TBF 130119P36000,1,19JAN2013,,P,36000,6.1,6.4,0,0,NA,NA,NA,NA,NA,83602475,1,0,NA,NA
139383,02JAN2013,TBF 130216C21000,1,16FEB2013,,C,21000,8.6,8.9,0,0,NA,NA,NA,NA,NA,100254807,1,0,NA,NA
139383,02JAN2013,TBF 130216C22000,1,16FEB2013,,C,22000,7.6,7.9,0,0,NA,NA,NA,NA,NA,100254808,1,0,NA,NA
139383,02JAN2013,TBF 130216C23000,1,16FEB2013,,C,23000,6.6,6.9,0,0,NA,NA,NA,NA,NA,100254809,1,0,NA,NA
139383,02JAN2013,TBF 130216C24000,1,16FEB2013,,C,24000,5.6,5.9,0,0,NA,NA,NA,NA,NA,100254810,1,0,NA,NA
139383,02JAN2013,TBF 130216C25000,1,16FEB2013,,C,25000,4.6,4.9,0,0,NA,NA,NA,NA,NA,100254811,1,0,NA,NA
139383,02JAN2013,TBF 130216C26000,1,16FEB2013,,C,26000,3.6,3.9,0,0,NA,NA,NA,NA,NA,100254812,1,0,NA,NA
139383,02JAN2013,TBF 130216C27000,1,16FEB2013,,C,27000,2.6,2.85,0,0,NA,NA,NA,NA,NA,100254813,1,0,NA,NA
139383,02JAN2013,TBF 130216C28000,1,16FEB2013,31DEC2012,C,28000,1.65,1.9,0,20,0.100102,0.961729,0.08045,0.858812,-0.427698,100254814,1,0,NA,NA
139383,02JAN2013,TBF 130216C29000,1,16FEB2013,02JAN2013,C,29000,0.85,1.05,10,0,0.117361,0.743621,0.26559,3.326487,-1.674815,100254815,1,0,NA,NA
139383,02JAN2013,TBF 130216C30000,1,16FEB2013,02JAN2013,C,30000,0.3,0.5,108,2,0.123575,0.434056,0.30818,4.064312,-2.115696,100254816,1,0,NA,NA
139383,02JAN2013,TBF 130216C31000,1,16FEB2013,,C,31000,0.05,0.2,0,0,0.12586,0.180772,0.202375,2.71671,-1.43263,100254817,1,0,NA,NA
139383,02JAN2013,TBF 130216C32000,1,16FEB2013,,C,32000,0,0.15,0,0,0.158951,0.098945,0.106092,1.798975,-1.193768,100254818,1,0,NA,NA
139383,02JAN2013,TBF 130216C33000,1,16FEB2013,,C,33000,0,0.15,0,0,0.206466,0.079862,0.069646,1.53493,-1.319907,100254819,1,0,NA,NA
139383,02JAN2013,TBF 130216C34000,1,16FEB2013,,C,34000,0,0.1,0,0,0.229877,0.051628,0.044582,1.0942,-1.046465,100254820,1,0,NA,NA
139383,02JAN2013,TBF 130216C35000,1,16FEB2013,,C,35000,0,0.1,0,0,0.268678,0.045288,0.034352,0.984311,-1.10082,100254821,1,0,NA,NA
139383,02JAN2013,TBF 130216C36000,1,16FEB2013,,C,36000,0,0.1,0,0,0.305343,0.040671,0.027713,0.902579,-1.146496,100254822,1,0,NA,NA
139383,02JAN2013,TBF 130216C37000,1,16FEB2013,,C,37000,0,0.1,0,0,0.340206,0.037135,0.023098,0.83933,-1.185856,100254823,1,0,NA,NA
139383,02JAN2013,TBF 130216P21000,1,16FEB2013,,P,21000,0,0.1,0,0,0.52758,-0.02301,0.010012,0.563773,-1.231368,100254824,1,0,NA,NA
139383,02JAN2013,TBF 130216P22000,1,16FEB2013,,P,22000,0,0.1,0,0,0.466548,-0.025807,0.012466,0.621259,-1.19858,100254825,1,0,NA,NA
139383,02JAN2013,TBF 130216P23000,1,16FEB2013,,P,23000,0,0.1,0,0,0.407514,-0.029245,0.015839,0.688848,-1.161561,100254826,1,0,NA,NA
139383,02JAN2013,TBF 130216P24000,1,16FEB2013,,P,24000,0,0.1,0,0,0.35014,-0.033604,0.020677,0.771837,-1.119043,100254827,1,0,NA,NA
139383,02JAN2013,TBF 130216P25000,1,16FEB2013,,P,25000,0,0.1,0,0,0.294042,-0.039364,0.028023,0.879561,-1.069027,100254828,1,0,NA,NA
139383,02JAN2013,TBF 130216P26000,1,16FEB2013,,P,26000,0,0.1,0,0,0.238772,-0.047421,0.040109,1.021123,-1.008061,100254829,1,0,NA,NA
139383,02JAN2013,TBF 130216P27000,1,16FEB2013,,P,27000,0,0.15,0,0,0.202071,-0.077542,0.069594,1.499111,-1.251245,100254830,1,0,NA,NA
139383,02JAN2013,TBF 130216P28000,1,16FEB2013,,P,28000,0,0.2,0,0,0.155039,-0.123328,0.127394,2.104107,-1.345143,100254831,1,0,NA,NA
139383,02JAN2013,TBF 130216P29000,1,16FEB2013,,P,29000,0.15,0.35,0,0,0.13467,-0.282524,0.243171,3.490994,-1.928738,100254832,1,0,NA,NA
